ATL	100.0	100.0
BHM	50.0	90.0
MIA	150.0	-100.0
TPA	120.0	-50.0
EYW	125.0	-120.0
PNS	75.0	-40.0
MCO	130.0	-45.0
MGM	60.0	80.0
CHS	150.0	90.0
GSP	120.0	120.0
BNA	50.0	140.0
MEM	0.0	125.0
RDU	160.0	140.0
CLT	135.0	130.0
JAN	0.0	70.0
BTR	-10.0	0.0
MSY	0.0	0.0
LIT	-50.0	120.0
XNA	-70.0	130.0
MCI	-80.0	180.0
STL	-20.0	170.0
CHI	20.0	220.0
BMI	10.0	200.0
IND	50.0	190.0
SDF	52.0	170.0
CMH	110.0	200.0
CLE	120.0	220.0
CRW	125.0	170.0
RIC	170.0	170.0
WAS	170.0	200.0
BWI	173.0	205.0
PHL	190.0	210.0
MDT	170.0	211.0
EWR	195.0	214.0
ALB	200.0	260.0
JFK	202.0	215.0
LGA	202.0	215.0
BDL	205.0	250.0
PVD	210.0	250.0
BOS	210.0	280.0
MHT	205.0	286.0
BTV	200.0	300.0
PWM	215.0	290.0
BGR	220.0	310.0
DTW	100.0	220.0
LAN	80.0	220.0
GRB	10.0	240.0
MSN	0.0	220.0
DSM	-50.0	215.0
MSP	-50.0	240.0
BIS	-150.0	300.0
FAR	-100.0	300.0
RAP	-200.0	250.0
FSD	-100.0	250.0
LNK	-100.0	200.0
OMA	-90.0	205.0
ICT	-100.0	150.0
OKC	-110.0	120.0
TUL	-100.0	130.0
AUS	-110.0	0.0
DAL	-100.0	60.0
HOU	-80.0	-5.0
SAT	-120.0	-5.0
ABQ	-210.0	120.0
DEN	-200.0	190.0
COS	-190.0	180.0
CPR	-210.0	220.0
HLN	-260.0	300.0
MSO	-270.0	305.0
BOI	-300.0	250.0
IDA	-260.0	250.0
SLC	-260.0	200.0
CDC	-270.0	150.0
PHX	-265.0	100.0
SEA	-350.0	350.0
GEG	-310.0	340.0
PDX	-355.0	305.0
MFR	-360.0	255.0
LAS	-300.0	140.0
RNO	-330.0	190.0
LAX	-340.0	120.0
SMF	-360.0	180.0
SFO	-370.0	175.0
SAN	-330.0	100.0
